code,净值日期,累计净值,return
515180,2020-06-03,0.9687,0.0007231404958678578
515180,2020-06-04,0.9717,0.003096934035305088
515180,2020-06-05,0.9688,-0.0029844602243490614
515180,2020-06-08,0.9699,0.0011354252683732913
515180,2020-06-09,0.9739,0.004124136508918408
515180,2020-06-10,0.9707,-0.0032857582914056493
515180,2020-06-11,0.9632,-0.007726383022561123
515180,2020-06-12,0.9621,-0.001142026578073052
515180,2020-06-15,0.9552,-0.007171811661989325
515180,2020-06-16,0.9716,0.017169179229480802
515180,2020-06-17,0.9735,0.0019555372581310237
515180,2020-06-18,0.9821,0.008834103749358002
515180,2020-06-19,0.9848,0.0027492108746562938
515180,2020-06-22,0.9795,-0.005381803411860231
515180,2020-06-23,0.9798,0.0003062787136294265
515180,2020-06-24,0.9818,0.002041232904674395
515180,2020-06-29,0.9774,-0.004481564473416189
515180,2020-06-30,0.9863,0.009105790873746633
515180,2020-07-01,1.0037,0.017641691169015594
515180,2020-07-02,1.027,0.02321410780113564
515180,2020-07-03,1.0381,0.010808179162609566
515180,2020-07-06,1.0921,0.05201811000866963
515180,2020-07-07,1.0889,-0.002930134603058465
515180,2020-07-08,1.1037,0.013591698043897482
515180,2020-07-09,1.1152,0.010419498052006926
515180,2020-07-10,1.0939,-0.019099713055953926
515180,2020-07-13,1.123,0.02660206600237669
515180,2020-07-14,1.118,-0.0044523597506677115
515180,2020-07-15,1.1017,-0.014579606440071724
515180,2020-07-16,1.0671,-0.03140600889534351
515180,2020-07-17,1.0747,0.007122106644175785
515180,2020-07-20,1.1222,0.04419838094351913
515180,2020-07-21,1.1208,-0.0012475494564249123
515180,2020-07-22,1.1222,0.0012491077801570771
515180,2020-07-23,1.1098,-0.011049723756906271
515180,2020-07-24,1.0691,-0.03667327446386737
515180,2020-07-27,1.0663,-0.0026190253484238424
515180,2020-07-28,1.0762,0.009284441526774767
515180,2020-07-29,1.095,0.01746887195688518
515180,2020-07-30,1.0945,-0.00045662100456611565
515180,2020-07-31,1.1055,0.010050251256281229
515180,2020-08-03,1.1265,0.018995929443690773
515180,2020-08-04,1.1295,0.0026631158455392434
515180,2020-08-05,1.1288,-0.000619743249225202
515180,2020-08-06,1.13,0.001063075832742566
515180,2020-08-07,1.1217,-0.007345132743362792
515180,2020-08-10,1.137,0.013640010698047655
515180,2020-08-11,1.1261,-0.009586631486367514
515180,2020-08-12,1.1195,-0.0058609359737147315
515180,2020-08-13,1.1246,0.004555605180884381
515180,2020-08-14,1.1332,0.007647163435888338
515180,2020-08-17,1.1564,0.020472996823155842
515180,2020-08-18,1.1589,0.0021618817018331793
515180,2020-08-19,1.1482,-0.00923289326085075
515180,2020-08-20,1.1401,-0.007054520118446428
515180,2020-08-21,1.1395,-0.0005262696254714205
515180,2020-08-24,1.1505,0.009653356735410457
515180,2020-08-25,1.1502,-0.0002607561929597324
515180,2020-08-26,1.1314,-0.016344983481133668
515180,2020-08-27,1.1376,0.0054799363620292585
515180,2020-08-28,1.1585,0.018372011251758247
515180,2020-08-31,1.1525,-0.00517911091929224
515180,2020-09-01,1.1555,0.0026030368763556577
515180,2020-09-02,1.1548,-0.0006057983556900792
515180,2020-09-03,1.1532,-0.0013855213023901136
515180,2020-09-04,1.1502,-0.002601456815816916
515180,2020-09-07,1.1371,-0.011389323595896284
515180,2020-09-08,1.1438,0.005892181866150592
515180,2020-09-09,1.1267,-0.014950166112956742
515180,2020-09-10,1.1169,-0.008697967515754024
515180,2020-09-11,1.1216,0.0042080759244336186
515180,2020-09-14,1.1265,0.0043687589158345475
515180,2020-09-15,1.1316,0.004527296937416603
515180,2020-09-16,1.1319,0.00026511134676554526
515180,2020-09-17,1.1372,0.004682392437494576
515180,2020-09-18,1.1549,0.015564544495251464
515180,2020-09-21,1.1485,-0.005541605333795108
515180,2020-09-22,1.1325,-0.013931214627775357
515180,2020-09-23,1.1343,0.0015894039735100396
515180,2020-09-24,1.1139,-0.01798466014281952
515180,2020-09-25,1.1075,-0.005745578597719736
515180,2020-09-28,1.1076,9.029345372457698e-05
515180,2020-09-29,1.1121,0.004062838569880878
515180,2020-09-30,1.1068,-0.0047657584749574156
515180,2020-10-09,1.1308,0.02168413444163364
515180,2020-10-12,1.1585,0.024495932083480776
515180,2020-10-13,1.161,0.002157962883038378
515180,2020-10-14,1.161,0.0
515180,2020-10-15,1.1576,-0.002928509905254173
515180,2020-10-16,1.1607,0.0026779543883899137
515180,2020-10-19,1.1528,-0.006806237615232247
515180,2020-10-20,1.1541,0.001127689104788221
515180,2020-10-21,1.1503,-0.00329260895936212
515180,2020-10-22,1.1417,-0.007476310527688601
515180,2020-10-23,1.1328,-0.0077953928352455515
515180,2020-10-26,1.1344,0.0014124293785311437
515180,2020-10-27,1.1309,-0.0030853314527503617
515180,2020-10-28,1.131,8.842514811213675e-05
515180,2020-10-29,1.1384,0.006542882404951378
515180,2020-10-30,1.1222,-0.014230498945889014
515180,2020-11-02,1.1326,0.00926751024772754
515180,2020-11-03,1.1459,0.011742892459826848
515180,2020-11-04,1.152,0.005323326642813431
515180,2020-11-05,1.1708,0.016319444444444553
515180,2020-11-06,1.1725,0.0014519986334131652
515180,2020-11-09,1.1909,0.015692963752665268
515180,2020-11-10,1.1874,-0.0029389537324713277
515180,2020-11-11,1.1922,0.004042445679636186
515180,2020-11-12,1.1987,0.005452105351451353
515180,2020-11-13,1.191,-0.006423625594393911
515180,2020-11-16,1.2147,0.01989924433249346
515180,2020-11-17,1.2222,0.006174364040503866
515180,2020-11-18,1.2269,0.0038455244640813735
515180,2020-11-19,1.222,-0.003993805526122829
515180,2020-11-20,1.2281,0.00499181669394444
515180,2020-11-23,1.2444,0.013272534809868786
515180,2020-11-24,1.2403,-0.003294760527161711
515180,2020-11-25,1.224,-0.01314198177860193
515180,2020-11-26,1.2195,-0.003676470588235281
515180,2020-11-27,1.2279,0.006888068880688714
515180,2020-11-30,1.2152,-0.010342861796563185
515180,2020-12-01,1.2308,0.012837393021724708
515180,2020-12-02,1.2328,0.001624959376015589
515180,2020-12-03,1.2247,-0.006570408825438023
515180,2020-12-04,1.2235,-0.0009798317955416191
515180,2020-12-07,1.2118,-0.009562729873314302
515180,2020-12-08,1.2082,-0.0029707872586235418
515180,2020-12-09,1.1941,-0.011670253269326247
515180,2020-12-10,1.1973,0.002679842559249801
515180,2020-12-11,1.181,-0.013613964754029872
515180,2020-12-14,1.1721,-0.007535986452159249
515180,2020-12-15,1.1697,-0.002047606859482909
515180,2020-12-16,1.1658,-0.0033341882533983735
515180,2020-12-17,1.177,0.009607136730142463
515180,2020-12-18,1.1819,0.004163126593033084
515180,2020-12-21,1.1857,0.003215162027244256
515180,2020-12-22,1.1601,-0.02159062157375391
515180,2020-12-23,1.1609,0.0006895957245065532
515180,2020-12-24,1.1508,-0.008700146438108347
515180,2020-12-25,1.1587,0.006864789711505059
515180,2020-12-28,1.1515,-0.006213860360749224
515180,2020-12-29,1.1419,-0.00833695180199745
515180,2020-12-30,1.1464,0.003940800420352275
515180,2020-12-31,1.1544,0.006978367062107527
515180,2021-01-04,1.1582,0.00329175329175313
515180,2021-01-05,1.1607,0.002158521844241257
515180,2021-01-06,1.1632,0.0021538726630481175
515180,2021-01-07,1.1561,-0.006103851444291708
515180,2021-01-08,1.1592,0.0026814289421330795
515180,2021-01-11,1.1467,-0.010783298826777088
515180,2021-01-12,1.1555,0.007674195517572091
515180,2021-01-13,1.1539,-0.0013846819558632761
515180,2021-01-14,1.15,-0.0033798422740272116
515180,2021-01-15,1.1565,0.005652173913043734
515180,2021-01-18,1.1654,0.007695633376567201
515180,2021-01-19,1.1713,0.005062639437103167
515180,2021-01-20,1.1698,-0.0012806283616495495
515180,2021-01-21,1.1748,0.0042742349119508916
515180,2021-01-22,1.163,-0.010044262853251662
515180,2021-01-25,1.1472,-0.013585554600171967
515180,2021-01-26,1.1402,-0.006101813110181209
515180,2021-01-27,1.1411,0.0007893352043499835
515180,2021-01-28,1.1258,-0.013408114976776853
515180,2021-01-29,1.1169,-0.007905489429738788
515180,2021-02-01,1.129,0.010833557167159169
515180,2021-02-02,1.1362,0.006377325066430517
515180,2021-02-03,1.1277,-0.007481077275127812
515180,2021-02-04,1.1171,-0.009399663030947858
515180,2021-02-05,1.1208,0.0033121475248412136
515180,2021-02-08,1.1317,0.009725196288365323
515180,2021-02-09,1.1453,0.012017319077494149
515180,2021-02-10,1.1533,0.006985069414127354
515180,2021-02-18,1.1797,0.022890834995231035
515180,2021-02-19,1.1991,0.01644485886242264
515180,2021-02-22,1.2112,0.010090901509465455
515180,2021-02-23,1.2026,-0.0071003963011890825
515180,2021-02-24,1.1901,-0.010394146016963202
515180,2021-02-25,1.2064,0.013696328039660477
515180,2021-02-26,1.1829,-0.01947944297082216
515180,2021-03-01,1.2055,0.01910558796178874
515180,2021-03-02,1.1957,-0.008129406885109991
515180,2021-03-03,1.2221,0.022079116835326484
515180,2021-03-04,1.2132,-0.0072825464364617565
515180,2021-03-05,1.206,-0.005934718100890302
515180,2021-03-08,1.196,-0.008291873963515717
515180,2021-03-09,1.1868,-0.007692307692307554
515180,2021-03-10,1.1808,-0.005055611729019249
515180,2021-03-11,1.2069,0.02210365853658547
515180,2021-03-12,1.2163,0.007788549175573589
515180,2021-03-15,1.219,0.0022198470772014645
515180,2021-03-16,1.2266,0.006234618539786574
515180,2021-03-17,1.2211,-0.004483939344529508
515180,2021-03-18,1.2255,0.003603308492343027
515180,2021-03-19,1.2141,-0.009302325581395432
515180,2021-03-22,1.2298,0.01293138950663053
515180,2021-03-23,1.2131,-0.013579443812001935
515180,2021-03-24,1.1954,-0.014590717995218938
515180,2021-03-25,1.1921,-0.0027605822318890194
515180,2021-03-26,1.2063,0.011911752369767603
515180,2021-03-29,1.2191,0.010610959131227782
515180,2021-03-30,1.2178,-0.0010663604298253304
